1.27182496,1.26886656,1.25824257,1.36379633,1.44000216,1.33771941,1.36160289,1.4466736,1.34015,1.29149616,1.30663379,1.39335665,1.3489749;-1.53604873,-1.33370597,-1.33450673,-1.3640746,-1.41601392,-1.22761391,-1.24550294,-1.14257848,-1.1278296,-1.07367443,-1.08043296,-1.04718101,-0.99484385;1.72829056,1.67063167,1.66266333,1.90903373,1.76552939,1.95689709,1.89005734,1.88540987,1.99579605,1.92503801,2.01603399,2.09163428,1.96038997
0.74020696,0.76199021,0.66424627,0.83696898,0.83415616,0.8069791,0.84871604,0.79581143,0.83917643,0.78580609,0.849013,0.74945803,0.70105247;0.30709254,0.20137192,0.11463983,0.00962396,-0.04062444,0.03086449,-0.12236015,-0.04736252,-0.13793169,-0.23309921,-0.16774702,-0.21597748,-0.34787995;-1.60758904,-1.6599279,-1.63154123,-1.58325742,-1.72148753,-1.82275969,-1.77055018,-1.82048485,-1.79468023,-1.89411912,-1.74233249,-1.92342611,-1.89770791
-1.09359186,-1.07805297,-1.11767779,-1.17163064,-1.00958875,-1.02869523,-1.09701348,-1.03309554,-1.00331354,-1.04030881,-1.04303514,-1.00328629,-1.06980459;0.43054819,0.3806524,0.29598299,0.26123664,0.11723503,0.15313877,0.05121703,0.00396846,0.016438,0.05767329,-0.15771515,-0.08023808,-0.09889748;-1.58732336,-1.68716317,-1.6202707,-1.72681951,-1.69954248,-1.87944839,-1.90316856,-1.76427082,-1.92256146,-1.78671188,-1.84989519,-1.77536074,-1.8162309
-0.31691152,-0.366738,-0.39834713,-0.42470176,-0.35756092,-0.34480515,-0.27666013,-0.2688224,-0.36078631,-0.36301848,-0.34307058,-0.28098505,-0.3247848;-0.41833135,-0.3546506,-0.40503367,-0.33971695,-0.29672604,-0.21892099,-0.12328877,-0.14250223,-0.05471364,-0.04006542,0.11084501,-0.03794379,0.06102979;-1.39241544,-1.24891645,-1.36710301,-1.27694868,-1.06942999,-0.96180538,-0.94967668,-0.89136246,-0.71773686,-0.59411329,-0.51378806,-0.5567459,-0.38144843
0.98417541,0.83525361,0.9173739,0.91675821,0.9047118,0.94288804,0.97357169,0.88542748,0.83543061,0.77053614,0.7830739,0.75673143,0.89275553;-1.82824458,-1.82004021,-1.6639059,-1.64798013,-1.7153282,-1.63429854,-1.65328293,-1.74618951,-1.56283391,-1.55351844,-1.62169835,-1.53132699,-1.55914127;-1.02551201,-0.92618656,-0.67634124,-0.6543316,-0.67685008,-0.39104784,-0.36517804,-0.26668272,-0.17066658,-0.07204998,0.0164661,0.04428895,0.14532092
0.81820737,0.64491379,0.77263431,0.83178892,0.72586884,0.84448092,0.86069257,0.67937575,0.82853811,0.83797567,0.83008325,0.72813528,0.78496896;-0.26789358,-0.19288998,-0.24374668,-0.15985591,-0.00818451,-0.09308558,0.13675739,-0.00064719,0.22048237,0.16612342,0.28241367,0.38776807,0.36864191;-0.09094841,-0.16715927,-0.19430982,-0.37998906,-0.4489477,-0.53440742,-0.64307845,-0.86992457,-0.80435623,-0.91076906,-0.94712563,-1.1133445,-1.21756451
-0.41393698,-0.27708687,-0.27795312,-0.45735384,-0.37131044,-0.3890053,-0.41583496,-0.34844857,-0.32871688,-0.40583702,-0.35480033,-0.33148259,-0.38817683;-1.60272781,-1.52794055,-1.62125158,-1.44644149,-1.40987943,-1.37400538,-1.35467871,-1.39962489,-1.26801873,-1.38610592,-1.32675223,-1.30489942,-1.2042359;-0.19669885,-0.32367753,-0.44231207,-0.60508964,-0.66195627,-0.82594777,-0.89393111,-0.99060978,-1.10983813,-1.11919205,-1.13303298,-1.27886171,-1.40280605
1.39936641,1.39232032,1.29513038,1.26068913,1.4167036,1.26299964,1.34174483,1.3005091,1.38867935,1.40210085,1.33724968,1.40224352,1.25286782;1.76406009,1.61518088,1.62549597,1.61122443,1.61628683,1.68504395,1.5364439,1.58378765,1.42354944,1.48960721,1.50533334,1.34361726,1.43836249;0.75076107,0.84955609,0.96339525,0.92284406,1.07689496,1.18785809,1.34279454,1.31308008,1.49783437,1.41052963,1.52264265,1.70151667,1.64632072
0.90935361,0.88550474,0.98268886,0.86705152,0.93044103,1.03162082,0.9229259,1.02127601,0.94345402,0.90765215,1.0235508,0.98938048,0.92639113;1.25349732,1.1323909,1.17853734,1.15209723,1.05807926,1.02705442,0.9915779,0.8370903,0.928271,0.896791,0.74608487,0.79713285,0.68098813;1.74921425,1.74167261,1.52520855,1.63058395,1.39612135,1.3235523,1.38300643,1.20938598,1.19181719,1.05700874,1.01146644,0.93016429,0.74808459
0.88431539,0.87005061,0.81652527,0.87629803,0.75577935,0.73111524,0.82926524,0.77025318,0.77266203,0.65324031,0.6542534,0.6810597,0.70971873;-1.0420788,-0.91747191,-0.95147709,-0.83398997,-0.82388072,-0.90675765,-0.85285024,-0.72966948,-0.72060293,-0.76392137,-0.57407925,-0.49629928,-0.56965182;1.87019702,1.89636362,1.86546575,2.00497881,2.04818143,2.08663514,2.01599623,2.03342307,1.99997128,2.06671156,1.9827723,2.07814795,1.90272569
0.40585141,0.2777297,0.45583677,0.40898595,0.38238417,0.44044781,0.39286363,0.38484971,0.32059968,0.40284338,0.25764203,0.36851741,0.2756137;1.79623859,1.74762355,1.82485541,1.84311683,1.83898978,1.93114701,1.94155269,1.89693134,1.96608711,2.02560923,1.92348192,1.96075762,1.95473179;-1.78832984,-1.79228139,-1.92539332,-1.82320425,-1.82499973,-1.81663973,-1.72331541,-1.8204649,-1.62565491,-1.74267502,-1.68800991,-1.51749091,-1.45570747
-0.19736306,-0.13648552,-0.09279275,-0.27216046,-0.21151418,-0.16869382,-0.07812426,-0.12724354,-0.1725273,-0.20999573,-0.17929059,-0.06530517,-0.08646356;-0.90206388,-0.95765824,-0.97129981,-0.92144845,-0.73086424,-0.85135982,-0.75668582,-0.70354015,-0.73091448,-0.67283535,-0.59405329,-0.54986132,-0.52038479;-0.85754166,-0.74356302,-0.57724906,-0.56817718,-0.49276406,-0.32366716,-0.17432923,-0.13641244,-0.05644418,0.0781713,0.16299996,0.30318166,0.50239384
1.36649029,1.24880497,1.26336417,1.27656223,1.20135772,1.28998379,1.23099521,1.37046046,1.19043513,1.34234898,1.32662188,1.17670933,1.24742578;0.61731786,0.56478461,0.60565175,0.51057125,0.41895312,0.33832441,0.34427482,0.27390503,0.17929272,0.11315935,0.1610918,0.10103762,0.12213714;0.25180967,0.20435218,0.29329705,0.37553751,0.61560669,0.60984929,0.68629807,0.91691551,1.0173623,1.13559139,1.15032009,1.27728178,1.32974917
